Epoch [115/150] | Train Loss: 0.1245 | Train Acc: 95.62% | Val Loss: 0.3430 | Val Acc: 91.42% | LR: 0.000075
Epoch [116/150] | Train Loss: 0.1176 | Train Acc: 95.86% | Val Loss: 0.3449 | Val Acc: 91.57% | LR: 0.000071
Epoch [117/150] | Train Loss: 0.1149 | Train Acc: 95.98% | Val Loss: 0.3453 | Val Acc: 91.55% | LR: 0.000067
Epoch [118/150] | Train Loss: 0.1166 | Train Acc: 95.98% | Val Loss: 0.3470 | Val Acc: 91.68% | LR: 0.000064
Epoch [119/150] | Train Loss: 0.1108 | Train Acc: 96.14% | Val Loss: 0.3505 | Val Acc: 91.68% | LR: 0.000060
Epoch [120/150] | Train Loss: 0.1125 | Train Acc: 96.03% | Val Loss: 0.3665 | Val Acc: 91.53% | LR: 0.000056
Epoch [121/150] | Train Loss: 0.1050 | Train Acc: 96.33% | Val Loss: 0.3642 | Val Acc: 91.88% | LR: 0.000053
Epoch [122/150] | Train Loss: 0.1076 | Train Acc: 96.31% | Val Loss: 0.3723 | Val Acc: 91.44% | LR: 0.000050
Epoch [123/150] | Train Loss: 0.1042 | Train Acc: 96.41% | Val Loss: 0.3715 | Val Acc: 91.54% | LR: 0.000046
Epoch [124/150] | Train Loss: 0.0999 | Train Acc: 96.56% | Val Loss: 0.3748 | Val Acc: 91.60% | LR: 0.000043
Epoch [125/150] | Train Loss: 0.0996 | Train Acc: 96.53% | Val Loss: 0.3760 | Val Acc: 91.71% | LR: 0.000040
Epoch [126/150] | Train Loss: 0.0964 | Train Acc: 96.60% | Val Loss: 0.3770 | Val Acc: 91.55% | LR: 0.000037
Epoch [127/150] | Train Loss: 0.0933 | Train Acc: 96.82% | Val Loss: 0.3827 | Val Acc: 91.52% | LR: 0.000034
Epoch [128/150] | Train Loss: 0.0897 | Train Acc: 96.93% | Val Loss: 0.3777 | Val Acc: 91.66% | LR: 0.000031
Epoch [129/150] | Train Loss: 0.0922 | Train Acc: 96.86% | Val Loss: 0.3799 | Val Acc: 91.77% | LR: 0.000029
Epoch [130/150] | Train Loss: 0.0869 | Train Acc: 97.01% | Val Loss: 0.3809 | Val Acc: 91.62% | LR: 0.000026
Epoch [131/150] | Train Loss: 0.0863 | Train Acc: 97.05% | Val Loss: 0.3817 | Val Acc: 91.61% | LR: 0.000024
Epoch [132/150] | Train Loss: 0.0849 | Train Acc: 97.11% | Val Loss: 0.3783 | Val Acc: 91.58% | LR: 0.000021
Epoch [133/150] | Train Loss: 0.0851 | Train Acc: 97.12% | Val Loss: 0.3834 | Val Acc: 91.63% | LR: 0.000019
Epoch [134/150] | Train Loss: 0.0844 | Train Acc: 97.11% | Val Loss: 0.3844 | Val Acc: 91.64% | LR: 0.000017
Epoch [135/150] | Train Loss: 0.0821 | Train Acc: 97.16% | Val Loss: 0.3905 | Val Acc: 91.65% | LR: 0.000015
Epoch [136/150] | Train Loss: 0.0822 | Train Acc: 97.18% | Val Loss: 0.3902 | Val Acc: 91.71% | LR: 0.000013
Epoch [137/150] | Train Loss: 0.0791 | Train Acc: 97.31% | Val Loss: 0.3943 | Val Acc: 91.51% | LR: 0.000011
Epoch [138/150] | Train Loss: 0.0782 | Train Acc: 97.35% | Val Loss: 0.3946 | Val Acc: 91.59% | LR: 0.000010
Epoch [139/150] | Train Loss: 0.0762 | Train Acc: 97.30% | Val Loss: 0.3887 | Val Acc: 91.70% | LR: 0.000008
Epoch [140/150] | Train Loss: 0.0786 | Train Acc: 97.41% | Val Loss: 0.3959 | Val Acc: 91.68% | LR: 0.000007
Epoch [141/150] | Train Loss: 0.0765 | Train Acc: 97.37% | Val Loss: 0.3975 | Val Acc: 91.76% | LR: 0.000005
Epoch [142/150] | Train Loss: 0.0767 | Train Acc: 97.45% | Val Loss: 0.3981 | Val Acc: 91.70% | LR: 0.000004
Epoch [143/150] | Train Loss: 0.0753 | Train Acc: 97.34% | Val Loss: 0.3981 | Val Acc: 91.74% | LR: 0.000003
Epoch [144/150] | Train Loss: 0.0762 | Train Acc: 97.43% | Val Loss: 0.3979 | Val Acc: 91.64% | LR: 0.000002
Epoch [145/150] | Train Loss: 0.0758 | Train Acc: 97.39% | Val Loss: 0.3998 | Val Acc: 91.71% | LR: 0.000002
Epoch [146/150] | Train Loss: 0.0724 | Train Acc: 97.54% | Val Loss: 0.4011 | Val Acc: 91.70% | LR: 0.000001
Epoch [147/150] | Train Loss: 0.0748 | Train Acc: 97.42% | Val Loss: 0.3996 | Val Acc: 91.69% | LR: 0.000001
Epoch [148/150] | Train Loss: 0.0736 | Train Acc: 97.44% | Val Loss: 0.4001 | Val Acc: 91.73% | LR: 0.000000
Epoch [149/150] | Train Loss: 0.0731 | Train Acc: 97.51% | Val Loss: 0.4013 | Val Acc: 91.72% | LR: 0.000000
Epoch [150/150] | Train Loss: 0.0757 | Train Acc: 97.44% | Val Loss: 0.4006 | Val Acc: 91.67% | LR: 0.000000
